controller_path,module,class_route_prefix,route_count,route_names
"AbstractMantenedorController.php","Core","",2,"app_maintainers_cost_center_export;centros_costo.csv"
"AbstractTenantAwareController.php","Core","",0,""
"Admin/MenuConfigController.php","Admin","/admin/menu-config",10,"admin_menu_config_;index;new;edit;delete;toggle;clear_cache;update_hierarchy;api_tree;add_child"
"Dashboard/Default/DefaultController.php","Dashboard","",1,"app_dashboard_default"
"DefaultController.php","Core","",1,"app_root"
"LocaleController.php","Core","/locale",3,"app_locale_change;app_locale_available;app_locale_translations"
"LoginController.php","Core","",2,"app_login;app_logout"
"MaintainerRolePermissionController.php","Core","/admin/maintainer-permissions",5,"app_maintainer_permission_index;app_maintainer_permission_create;app_maintainer_permission_edit;app_maintainer_permission_delete;app_maintainer_permission_export"
"Maintainers/Admission/CancellationReasonController.php","Maintainers/Admission","/maintainers/admission/cancellation-reason",6,"app_maintainers_admission_cancellation_reason_index;app_maintainers_admission_cancellation_reason_create;app_maintainers_admission_cancellation_reason_edit;app_maintainers_admission_cancellation_reason_delete;app_maintainers_admission_cancellation_reason_export;motivos_anulacion_"
"Maintainers/Admission/CompanyAgreementController.php","Maintainers/Admission","/maintainers/admission/company-agreement",6,"app_maintainers_admission_company_agreement_index;app_maintainers_admission_company_agreement_create;app_maintainers_admission_company_agreement_edit;app_maintainers_admission_company_agreement_delete;app_maintainers_admission_company_agreement_export;convenios_empresa_"
"Maintainers/Admission/EmergencyConsultationTypeController.php","Maintainers/Admission","/maintainers/admission/emergency-consultation-type",6,"app_maintainers_admission_emergency_consultation_type_index;app_maintainers_admission_emergency_consultation_type_create;app_maintainers_admission_emergency_consultation_type_edit;app_maintainers_admission_emergency_consultation_type_delete;app_maintainers_admission_emergency_consultation_type_export;tipos_consulta_urgencia_"
"Maintainers/Basic/DoctorTypeController.php","Maintainers/Basic","/maintainers/basic/doctor-type",6,"app_maintainers_doctor_type_index;app_maintainers_doctor_type_create;app_maintainers_doctor_type_edit;app_maintainers_doctor_type_delete;app_maintainers_doctor_type_export;tipos_doctor_"
"Maintainers/Basic/EducationLevelController.php","Maintainers/Basic","/maintainers/basic/education-level",6,"app_maintainers_education_level_index;app_maintainers_education_level_create;app_maintainers_education_level_edit;app_maintainers_education_level_delete;app_maintainers_education_level_export;niveles_educacion_"
"Maintainers/Basic/EducationLevelDetailController.php","Maintainers/Basic","/maintainers/basic/education-level-detail",6,"app_maintainers_education_level_detail_index;app_maintainers_education_level_detail_create;app_maintainers_education_level_detail_edit;app_maintainers_education_level_detail_delete;app_maintainers_education_level_detail_export;detalles_nivel_instruccion_"
"Maintainers/Basic/EthnicGroupController.php","Maintainers/Basic","/maintainers/basic/ethnic-group",6,"app_maintainers_ethnic_group_index;app_maintainers_ethnic_group_create;app_maintainers_ethnic_group_edit;app_maintainers_ethnic_group_delete;app_maintainers_ethnic_group_export;pueblos_originarios_"
"Maintainers/Basic/GenderController.php","Maintainers/Basic","/maintainers/basic/gender",6,"app_maintainers_gender_index;app_maintainers_gender_create;app_maintainers_gender_edit;app_maintainers_gender_delete;app_maintainers_gender_export;generos_"
"Maintainers/Basic/InsuranceAdministratorController.php","Maintainers/Basic","/maintainers/basic/insurance-administrator",6,"app_maintainers_insurance_administrator_index;app_maintainers_insurance_administrator_create;app_maintainers_insurance_administrator_edit;app_maintainers_insurance_administrator_delete;app_maintainers_insurance_administrator_export;administradoras_seguro_"
"Maintainers/Basic/JobPositionController.php","Maintainers/Basic","/maintainers/basic/job-position",6,"app_maintainers_job_position_index;app_maintainers_job_position_create;app_maintainers_job_position_edit;app_maintainers_job_position_delete;app_maintainers_job_position_export;cargos_"
"Maintainers/Basic/LocationController.php","Maintainers/Basic","/maintainers/basic/location",6,"app_maintainers_location_index;app_maintainers_location_create;app_maintainers_location_edit;app_maintainers_location_delete;app_maintainers_location_export;ubicaciones_"
